dataset,model,method,C,n_features,accuracy,f1_score,auc,train_time
ibtracs.last3years,logistic_regression,l1_lasso,0.001,1,0.9774484536082474,0.8275862068965517,0.9934198792862305,0.006761789321899414
ibtracs.last3years,random_forest,l1_lasso,0.001,1,0.9810996563573883,0.8376383763837638,0.9896643208293119,0.16947388648986816
ibtracs.last3years,xgboost,l1_lasso,0.001,1,0.9806701030927835,0.8333333333333334,0.9932705444237082,0.09989786148071289
ibtracs.last3years,logistic_regression,l1_lasso,0.01,17,0.970360824742268,0.7863777089783281,0.9915685536619895,0.010124921798706055
ibtracs.last3years,random_forest,l1_lasso,0.01,17,0.9806701030927835,0.832089552238806,0.9936332148041197,0.14721083641052246
ibtracs.last3years,xgboost,l1_lasso,0.01,17,0.9802405498281787,0.8333333333333334,0.9930281952753863,0.12452292442321777
ibtracs.last3years,logistic_regression,l1_lasso,0.1,41,0.9757302405498282,0.8119800332778702,0.9902155798075373,0.026559114456176758
ibtracs.last3years,random_forest,l1_lasso,0.1,41,0.9826030927835051,0.8457142857142858,0.9914879128362274,0.21556997299194336
ibtracs.last3years,xgboost,l1_lasso,0.1,41,0.9785223367697594,0.8084291187739464,0.9931160895087565,0.1542658805847168
ibtracs.last3years,logistic_regression,l1_lasso,1.0,53,0.9768041237113402,0.82,0.9901345123107395,0.032415151596069336
ibtracs.last3years,random_forest,l1_lasso,1.0,53,0.9817439862542955,0.8380952380952381,0.9923199213559947,0.24061203002929688
ibtracs.last3years,xgboost,l1_lasso,1.0,53,0.9819587628865979,0.8438661710037175,0.9939404179498799,0.17228388786315918
ibtracs.last3years,logistic_regression,l1_lasso,10.0,63,0.9765893470790378,0.8180300500834724,0.9900824584443745,0.03380393981933594
ibtracs.last3years,random_forest,l1_lasso,10.0,63,0.9804553264604811,0.8226120857699805,0.9910663618528788,0.22906780242919922
ibtracs.last3years,xgboost,l1_lasso,10.0,63,0.9798109965635738,0.8199233716475096,0.9939314578581284,0.17789530754089355
ibtracs.last3years,logistic_regression,l2_ridge,top10,10,0.9765893470790378,0.8186356073211315,0.9928720336762915,0.01222991943359375
ibtracs.last3years,random_forest,l2_ridge,top10,10,0.9821735395189003,0.8465804066543438,0.9937339091685632,0.2069261074066162
ibtracs.last3years,xgboost,l2_ridge,top10,10,0.9795962199312714,0.8269581056466302,0.9931041427197548,0.12566614151000977
ibtracs.last3years,logistic_regression,l2_ridge,top20,20,0.9718642611683849,0.7897271268057785,0.9900414980249398,0.014662027359008789
ibtracs.last3years,random_forest,l2_ridge,top20,20,0.9819587628865979,0.8421052631578947,0.9930525155244256,0.20196819305419922
ibtracs.last3years,xgboost,l2_ridge,top20,20,0.9780927835051546,0.8152173913043478,0.9928716070052558,0.13411307334899902
ibtracs.last3years,logistic_regression,l2_ridge,top30,30,0.9755154639175257,0.8106312292358804,0.9903359010396267,0.02057790756225586
ibtracs.last3years,random_forest,l2_ridge,top30,30,0.9823883161512027,0.8423076923076923,0.9923271747636028,0.19984984397888184
ibtracs.last3years,xgboost,l2_ridge,top30,30,0.9800257731958762,0.8312159709618875,0.9929377410158013,0.1439380645751953
ibtracs.last3years,logistic_regression,l2_ridge,top40,40,0.9770189003436426,0.8225538971807629,0.9907420918656873,0.025708913803100586
ibtracs.last3years,random_forest,l2_ridge,top40,40,0.9810996563573883,0.8314176245210728,0.9915877538585994,0.22245192527770996
ibtracs.last3years,xgboost,l2_ridge,top40,40,0.9789518900343642,0.8178438661710037,0.993343931841862,0.15666508674621582
ibtracs.last3years,logistic_regression,l2_ridge,top50,50,0.977233676975945,0.8203389830508474,0.990327367618911,0.028406858444213867
ibtracs.last3years,random_forest,l2_ridge,top50,50,0.9815292096219931,0.8358778625954199,0.9895452796103299,0.23228216171264648
ibtracs.last3years,xgboost,l2_ridge,top50,50,0.9800257731958762,0.8248587570621468,0.9934877199809193,0.1656200885772705
