dataset,model,method,n_features,accuracy,f1_score,auc,train_time
ibtracs.last3years,logistic_regression,pso,10,0.977233676975945,0.8262295081967214,0.9936417482248351,0.05962824821472168
ibtracs.last3years,random_forest,pso,10,0.9808848797250859,0.8354898336414048,0.9915979939634582,0.18121075630187988
ibtracs.last3years,xgboost,pso,10,0.9795962199312714,0.8282097649186256,0.9933533186046493,0.13869285583496094
ibtracs.last3years,logistic_regression,pso,20,0.9776632302405498,0.8306188925081434,0.9932372640829176,0.04064583778381348
ibtracs.last3years,random_forest,pso,20,0.9817439862542955,0.8374760994263862,0.9942843148047169,0.21413683891296387
ibtracs.last3years,xgboost,pso,20,0.9798109965635738,0.8315412186379928,0.9933592919991501,0.1352548599243164
ibtracs.last3years,logistic_regression,pso,30,0.9720790378006873,0.7975077881619937,0.9923826419982541,0.039134979248046875
ibtracs.last3years,random_forest,pso,30,0.9798109965635738,0.8212927756653993,0.9898234691256572,0.18074917793273926
ibtracs.last3years,xgboost,pso,30,0.9791666666666666,0.8283185840707965,0.9925447769918497,0.14029192924499512
ibtracs.last3years,logistic_regression,differential_evolution,10,0.9755154639175257,0.819047619047619,0.9932935846596403,0.028967857360839844
ibtracs.last3years,random_forest,differential_evolution,10,0.9813144329896907,0.8379888268156425,0.9918326630331362,0.1887819766998291
ibtracs.last3years,xgboost,differential_evolution,10,0.9785223367697594,0.8226950354609929,0.9933055314486421,0.12201809883117676
ibtracs.last3years,logistic_regression,differential_evolution,20,0.9697164948453608,0.7873303167420814,0.9927986462581376,0.048429012298583984
ibtracs.last3years,random_forest,differential_evolution,20,0.9808848797250859,0.8311195445920304,0.9903034740409075,0.18863201141357422
ibtracs.last3years,xgboost,differential_evolution,20,0.9806701030927835,0.8398576512455516,0.9933213182769659,0.13161802291870117
ibtracs.last3years,logistic_regression,differential_evolution,30,0.9746563573883161,0.8078175895765473,0.9908342528094154,0.03887009620666504
ibtracs.last3years,random_forest,differential_evolution,30,0.9817439862542955,0.8387096774193549,0.9934783332181322,0.1919848918914795
ibtracs.last3years,xgboost,differential_evolution,30,0.9810996563573883,0.8376383763837638,0.9933097981589998,0.14240717887878418
