dataset,model,method,n_features,accuracy,f1_score,auc,train_time
ibtracs.last3years,logistic_regression,correlation,10,0.9426546391752577,0.0,0.5102354114772802,0.025097370147705078
ibtracs.last3years,random_forest,correlation,10,0.8992697594501718,0.133086876155268,0.6359975526149388,0.16850686073303223
ibtracs.last3years,xgboost,correlation,10,0.9138745704467354,0.13390928725701945,0.7173108119293808,0.135756254196167
ibtracs.last3years,logistic_regression,correlation,20,0.9780927835051546,0.8282828282828283,0.9917038083803312,0.021926164627075195
ibtracs.last3years,random_forest,correlation,20,0.9817439862542955,0.8362235067437379,0.9874951252834163,0.19194602966308594
ibtracs.last3years,xgboost,correlation,20,0.9795962199312714,0.8204158790170132,0.9924385359039409,0.13625693321228027
ibtracs.last3years,logistic_regression,correlation,30,0.9774484536082474,0.8275862068965517,0.992073305497315,0.0190889835357666
ibtracs.last3years,random_forest,correlation,30,0.9823883161512027,0.8435114503816794,0.9915711136882043,0.24903392791748047
ibtracs.last3years,xgboost,correlation,30,0.9789518900343642,0.8157894736842105,0.9933144915403933,0.1479320526123047
ibtracs.last3years,logistic_regression,correlation,40,0.9731529209621993,0.7987117552334944,0.9902420334117553,0.02590203285217285
ibtracs.last3years,random_forest,correlation,40,0.9815292096219931,0.8358778625954199,0.9907190516297554,0.23456907272338867
ibtracs.last3years,xgboost,correlation,40,0.9802405498281787,0.8277153558052435,0.993511186887887,0.15671491622924805
ibtracs.last3years,logistic_regression,correlation,50,0.9763745704467354,0.8172757475083057,0.9901916862295336,0.026620864868164062
ibtracs.last3years,random_forest,correlation,50,0.9817439862542955,0.8380952380952381,0.9917801824957354,0.229691743850708
ibtracs.last3years,xgboost,correlation,50,0.9806701030927835,0.8327137546468402,0.9941477800732679,0.1657271385192871
ibtracs.last3years,logistic_regression,variance,10,0.9426546391752577,0.0,0.5300308141822039,0.00538182258605957
ibtracs.last3years,random_forest,variance,10,0.8200171821305842,0.09307359307359307,0.52891549609468,0.1737058162689209
ibtracs.last3years,xgboost,variance,10,0.8189432989690721,0.06437291897891231,0.6256051261964921,0.1168828010559082
ibtracs.last3years,logistic_regression,variance,20,0.9787371134020618,0.831918505942275,0.9915681269909536,0.015613079071044922
ibtracs.last3years,random_forest,variance,20,0.9821735395189003,0.845437616387337,0.9916167674890325,0.18932199478149414
ibtracs.last3years,xgboost,variance,20,0.9778780068728522,0.8023032629558541,0.9919495708969394,0.13354706764221191
ibtracs.last3years,logistic_regression,variance,30,0.9774484536082474,0.8275862068965517,0.9919478642127962,0.020142793655395508
ibtracs.last3years,random_forest,variance,30,0.9817439862542955,0.8380952380952381,0.9925925641478569,0.22526907920837402
ibtracs.last3years,xgboost,variance,30,0.978307560137457,0.8105065666041276,0.993419025944159,0.14929413795471191
ibtracs.last3years,logistic_regression,variance,40,0.9757302405498282,0.807495741056218,0.9906669977633904,0.02422618865966797
ibtracs.last3years,random_forest,variance,40,0.9817439862542955,0.8393194706994329,0.9904630490082885,0.22357606887817383
ibtracs.last3years,xgboost,variance,40,0.9774484536082474,0.8022598870056498,0.9930619022872127,0.15731501579284668
ibtracs.last3years,logistic_regression,variance,50,0.9750859106529209,0.8066666666666666,0.9898307225332654,0.02570962905883789
ibtracs.last3years,random_forest,variance,50,0.9819587628865979,0.8396946564885496,0.9897936021531526,0.23392105102539062
ibtracs.last3years,xgboost,variance,50,0.9808848797250859,0.832391713747646,0.9939374312526295,0.16568303108215332
ibtracs.last3years,logistic_regression,chi_square,10,0.9583333333333334,0.6900958466453674,0.9823452058815748,0.013241767883300781
ibtracs.last3years,random_forest,chi_square,10,0.9774484536082474,0.8080438756855576,0.9855047049015115,0.1320030689239502
ibtracs.last3years,xgboost,chi_square,10,0.9759450171821306,0.7941176470588235,0.9920506919324187,0.11217498779296875
ibtracs.last3years,logistic_regression,chi_square,20,0.9626288659793815,0.6217391304347826,0.9823580060126482,0.016344070434570312
ibtracs.last3years,random_forest,chi_square,20,0.9776632302405498,0.8175438596491228,0.9847140834722148,0.1380760669708252
ibtracs.last3years,xgboost,chi_square,20,0.9798109965635738,0.8321428571428572,0.9924666961923022,0.12496471405029297
ibtracs.last3years,logistic_regression,chi_square,30,0.9641323024054983,0.683111954459203,0.9798133399552678,0.02315378189086914
ibtracs.last3years,random_forest,chi_square,30,0.9806701030927835,0.8314606741573034,0.9897837887193299,0.16743183135986328
ibtracs.last3years,xgboost,chi_square,30,0.9804553264604811,0.8348457350272233,0.9917277019583347,0.13854002952575684
ibtracs.last3years,logistic_regression,chi_square,40,0.9533934707903781,0.6482982171799028,0.9754595887061884,0.020788192749023438
ibtracs.last3years,random_forest,chi_square,40,0.9823883161512027,0.8470149253731343,0.9894535453376376,0.1714320182800293
ibtracs.last3years,xgboost,chi_square,40,0.9800257731958762,0.8287292817679558,0.9918906902940019,0.14552593231201172
ibtracs.last3years,logistic_regression,chi_square,50,0.9525343642611683,0.6382978723404256,0.9742158426368953,0.025044918060302734
ibtracs.last3years,random_forest,chi_square,50,0.9815292096219931,0.8365019011406845,0.9895631997938326,0.21667909622192383
ibtracs.last3years,xgboost,chi_square,50,0.9787371134020618,0.818348623853211,0.9923766686037532,0.16129469871520996
